Interval,Samples,Fish,MinLen,MaxLen,AvgLen,StdLen,Avg+Std,Avg-Std
2006-07,7,100,6,8.7,6.819010693,0.476665151,7.295675844,6.342345543
2006-08,8,76,6,9.1,6.869068514,0.552475188,7.421543702,6.316593327
2006-09,8,143,6,8.7,7.006701226,0.493386892,7.500088118,6.513314334
2006-10,17,339,6,8.5,6.902742258,0.470560757,7.373303015,6.432181501
2006-11,5,283,6,9.1,6.990662793,0.510333987,7.50099678,6.480328807
2006-12,7,264,6,8.8,7.019463855,0.57761386,7.597077715,6.441849995
2007-01,7,279,6,9.5,6.573485335,0.415399261,6.988884597,6.158086074
2007-02,4,241,6,8.7,6.487015699,0.422359348,6.909375047,6.064656351
2007-03,4,427,6,9,6.811400362,0.465441278,7.27684164,6.345959083
2007-04,3,255,6,8.5,7.078516992,0.487229029,7.565746021,6.591287963
2007-05,4,184,6,8.4,6.834477457,0.529544806,7.364022264,6.304932651
2007-06,4,114,6,8.6,6.906635536,0.504582245,7.411217781,6.402053291
2007-07,4,157,6,8.1,6.72842465,0.486331334,7.214755984,6.242093316
2007-08,4,66,6,8.9,6.577670013,0.503049289,7.080719301,6.074620724
2007-09,15,126,6,8,6.639911525,0.484894862,7.124806387,6.155016663
2007-10,13,392,6,8.3,6.820276875,0.462267502,7.282544376,6.358009373
2007-11,8,341,6,8.9,6.995673423,0.484700773,7.480374196,6.51097265
2007-12,9,221,6,8.2,6.819396135,0.442815725,7.262211859,6.37658041
2008-01,9,301,6,8.3,6.84857457,0.50769852,7.35627309,6.34087605
2008-02,9,239,6,8.4,6.736933628,0.448225861,7.185159489,6.288707766
2008-03,5,186,6,9.4,7.042477017,0.635046222,7.677523239,6.407430795
2008-04,7,226,6,8.4,6.963840463,0.547893859,7.511734322,6.415946604
2008-05,6,226,6,9,6.914116483,0.614264782,7.528381266,6.299851701
2008-06,9,135,6,8.6,6.73366194,0.597208616,7.330870556,6.136453323
2008-07,8,38,6,8,6.836884507,0.468389402,7.305273909,6.368495105
2008-08,2,9,6.1,7.5,6.73125,0.513978438,7.245228438,6.217271562
2008-09,6,44,6,8.1,6.447246582,0.316172075,6.763418657,6.131074507
2008-10,6,204,6,8.1,6.601310834,0.392909118,6.994219951,6.208401716
2008-11,2,142,6,8.3,6.777792053,0.459376432,7.237168485,6.318415621
2008-12,3,174,6,8.4,6.78559172,0.506989952,7.292581672,6.278601769
2009-01,6,244,6,9,6.774350664,0.51860319,7.292953854,6.255747475
2009-02,3,136,6,8.5,6.740624795,0.462412629,7.203037424,6.278212166
2009-03,2,144,6,8.3,6.649460115,0.289437288,6.938897403,6.360022826
2009-04,3,209,6,9.1,7.047725885,0.542312966,7.590038852,6.505412919
2009-05,4,142,6,8.5,7.217768016,0.517520592,7.735288608,6.700247424
2009-06,2,39,6,8.2,6.815940123,0.423320872,7.239260994,6.392619251
2009-07,4,69,6.1,8.6,7.100231594,0.514791037,7.615022631,6.585440556
2009-08,3,74,6,8.8,6.924300902,0.487114989,7.411415891,6.437185913
2009-09,4,36,6.2,7.7,6.863107969,0.393749003,7.256856972,6.469358966
2009-10,9,198,6,8.1,6.867108592,0.369296488,7.23640508,6.497812104
2009-11,5,229,6,8.4,6.68013073,0.39234439,7.07247512,6.28778634
2009-12,5,335,6,8.2,6.778841925,0.495287044,7.274128969,6.283554881
2010-01,6,209,6,8.3,6.766307708,0.389347999,7.155655707,6.376959708
2010-02,6,281,6,8.7,6.631474404,0.435725277,7.067199681,6.195749128
2010-03,4,348,6,9,6.862919577,0.461008301,7.323927879,6.401911276
2010-04,4,330,6,9.1,7.16295942,0.535784441,7.698743861,6.627174979
2010-05,6,192,6,8.6,6.893487747,0.56847831,7.461966057,6.325009438
2010-06,7,147,6.1,8.6,7.080598292,0.5289604,7.609558692,6.551637892
2010-07,1,20,6,7.6,6.615,0.453379126,7.068379126,6.161620874
2010-08,2,14,6,7.3,6.45962963,0.434115189,6.893744819,6.025514441
2010-09,5,114,6,8.3,6.65396724,0.52333202,7.17729926,6.13063522
2010-10,15,242,6,9,6.703183812,0.390448212,7.093632024,6.312735599
2010-11,4,224,6,8.6,6.78274539,0.467012114,7.249757504,6.315733275
2010-12,4,195,6,8.5,7.017963811,0.503217857,7.521181668,6.514745954
2011-01,5,269,6,8.4,6.710624296,0.457536264,7.16816056,6.253088032
2011-02,5,219,6,8.4,6.581037269,0.414105188,6.995142457,6.166932081
2011-03,5,231,6,9,6.855606904,0.614855838,7.470462742,6.240751066
2011-04,4,167,6,8.6,6.877219648,0.480236557,7.357456205,6.396983091
2011-05,9,264,6,8.6,6.849928707,0.489857643,7.339786351,6.360071064
2011-06,7,209,6,10.2,6.806624071,0.621611106,7.428235177,6.185012965
2011-08,2,43,6.2,9.6,6.947531856,0.632935785,7.580467641,6.314596071
2011-09,2,40,6,8.6,6.753460651,0.568713893,7.322174545,6.184746758
2011-10,3,183,6,7.9,6.534927536,0.371548435,6.906475971,6.163379101
2011-11,6,532,6,8,6.717068213,0.347561275,7.064629488,6.369506938
2011-12,6,212,6,8.5,6.975982026,0.488623983,7.46460601,6.487358043
2012-01,8,240,6,8.7,6.823644277,0.415115827,7.238760104,6.40852845
2012-02,8,395,6,8.1,6.77177559,0.461588999,7.233364589,6.310186591
2012-03,5,231,6.1,8.4,6.837326546,0.456412065,7.293738611,6.380914481
2012-04,4,229,6.1,8.6,7.139461997,0.437101866,7.576563862,6.702360131
2012-05,13,266,6,8.4,6.883593078,0.511344373,7.394937451,6.372248705
2012-06,6,140,6,9.1,6.939216353,0.596006024,7.535222377,6.343210329
2012-07,3,43,6.2,8.1,6.898994327,0.45354343,7.352537757,6.445450897
2012-08,3,13,6.6,8,7.190105263,0.307047662,7.497152926,6.883057601
2012-09,16,109,6,8.2,6.811171321,0.470320986,7.281492308,6.340850335
2012-10,7,109,6,7.7,6.660214881,0.372971691,7.033186573,6.28724319
2012-11,11,496,6,8.6,6.682861451,0.434268954,7.117130405,6.248592497
2012-12,8,316,6,8.7,6.750480468,0.422768226,7.173248694,6.327712242
2013-01,5,364,6,8.7,6.992082387,0.50559481,7.497677197,6.486487577
2013-02,7,686,6.1,8.6,6.858624256,0.404299031,7.262923287,6.454325225
2013-03,4,416,6,8.5,7.039459913,0.544442518,7.583902431,6.495017395
2013-04,7,632,6,8.5,6.855855694,0.495150974,7.351006668,6.36070472
2013-05,3,216,6.1,8.5,6.97115744,0.459002633,7.430160074,6.512154807
2013-06,8,222,6,8.3,6.880437363,0.494491016,7.374928379,6.385946348
2013-07,5,149,6,8.5,6.744398951,0.400503441,7.144902393,6.34389551
2013-08,7,148,6,8.4,6.78053154,0.470421246,7.250952786,6.310110295
2013-09,9,121,6.1,8.6,6.867071175,0.459539475,7.326610651,6.4075317
2013-10,8,451,6,8.3,6.721998569,0.406465149,7.128463718,6.31553342
2013-11,6,311,6,8.8,6.98537495,0.508075808,7.493450758,6.477299142
2013-12,10,602,6,9.3,6.783337221,0.555140893,7.338478114,6.228196328
2014-01,4,350,6,8.2,6.619188793,0.416695981,7.035884774,6.202492813
2014-02,8,568,6,8.4,6.763690088,0.43361273,7.197302818,6.330077358
2014-03,6,735,6,8.9,7.062779964,0.499046743,7.561826708,6.563733221
2014-04,7,818,6,8.7,6.990510875,0.50050941,7.491020285,6.490001465
2014-05,10,643,6,8.3,6.832278869,0.442687388,7.274966257,6.389591481
2014-06,11,361,6.1,8.3,6.895776497,0.508854422,7.404630918,6.386922075
2014-07,4,34,6.2,8,6.809100322,0.489275919,7.29837624,6.319824403
2014-08,12,148,6,8.4,6.646326669,0.453082672,7.099409341,6.193243997
2014-09,10,331,6,9.2,6.645958274,0.433346245,7.079304519,6.212612029
2014-10,3,271,6.1,8.3,6.631680735,0.398257519,7.029938254,6.233423216
2014-11,9,450,6,8.5,6.679602297,0.420366137,7.099968434,6.259236161
2014-12,4,345,6,8.4,6.67819295,0.495286723,7.173479673,6.182906228
2015-01,8,430,6,8.3,6.658210877,0.346995832,7.005206709,6.311215045
2015-02,5,423,6,8.8,6.615153729,0.405658401,7.020812131,6.209495328
2015-03,7,676,6,8.7,6.855688824,0.511216698,7.366905522,6.344472127
2015-04,9,860,6,8.9,6.672040224,0.436516649,7.108556873,6.235523575
2015-05,11,596,6,9,6.679794736,0.437157034,7.11695177,6.242637702
2015-06,13,398,6,8.5,6.821962636,0.468165825,7.290128461,6.353796812
2015-07,9,326,6,8.5,6.805417271,0.435639627,7.241056899,6.369777644
2015-08,12,135,6.1,8.5,6.988482194,0.424131672,7.412613866,6.564350522
2015-09,12,244,6.1,8.3,6.745533212,0.400534694,7.146067906,6.344998518
2015-10,8,372,6,8.5,6.772274476,0.388875842,7.161150318,6.383398634
2015-11,4,279,6,8.2,6.83572627,0.437272206,7.272998476,6.398454064
2015-12,5,337,6,8.6,6.85415865,0.507727639,7.361886289,6.346431011
2016-01,8,431,6,8.1,6.543930803,0.352207945,6.896138748,6.191722857
2016-02,7,535,6,8.3,6.61766816,0.353643216,6.971311376,6.264024945
2016-03,7,490,5.8,7.9,6.64301729,0.325013772,6.968031061,6.318003518
2016-04,4,658,6,8.5,6.810315768,0.385386803,7.19570257,6.424928965
2016-05,6,304,6,8.4,6.696425075,0.390299286,7.086724361,6.306125789
2016-06,3,112,6.1,7.6,6.646923252,0.344965593,6.991888845,6.301957659
2017-12,1,96,6.5,7.7,7.028889248,0.184288875,7.213178123,6.844600373
2018-01,6,115,6.5,8.1,6.906166493,0.180466922,7.086633415,6.725699571
2018-02,4,165,6.5,8.6,6.989964465,0.23428568,7.224250144,6.755678785
2018-03,4,208,6.5,8.4,7.025852388,0.201472762,7.227325149,6.824379626
2018-04,7,380,6.5,8.3,7.066618303,0.219939579,7.286557881,6.846678724
2018-05,4,222,6.5,8.1,7.049858156,0.204642345,7.254500501,6.845215811
2018-06,3,254,6.5,8.6,7.051504635,0.249346052,7.300850686,6.802158583
2018-07,6,82,6.5,8.8,7.384697428,0.229748443,7.614445871,7.154948985
2018-08,1,9,6.6,7.5,7.055333333,0.053208187,7.10854152,7.002125147
2018-11,4,324,6.2,8.1,6.966981166,0.309538425,7.276519591,6.657442741
2018-12,8,200,6.5,8,7.020506547,0.277649724,7.298156271,6.742856823
2019-01,10,262,6.5,9,7.205964606,0.327282006,7.533246611,6.8786826
2019-02,5,227,6.6,8.2,7.037851785,0.208976066,7.246827852,6.828875719
2019-03,5,210,6.5,8.4,7.172037968,0.201348775,7.373386743,6.970689192
2019-04,3,135,6.5,8.2,7.065886274,0.162332495,7.228218769,6.903553779
